stringsfile version 1
1573
str_no_string NO_STRING!
str_credits_9 This_game_has_been_supported_by_The_Scientific_and_Technological_Research_Council_of_Turkey.^^Tutorial_written_by:^Steve_Negus^Armagan_Yavuz^Edward_Spoerl^^Horse_Motion_Capture_Animation_Supplied_by:^Richard_Widgery_&_Kinetic_Impulse^^Physics:^Havok^^Sound_and_Music_Program_Library:^FMODex_Sound_System_by_Firelight_Technologies^^Skybox_Textures:^Jay_Weston^^Chinese_Translation:^Hetairoi;_Gaodatailang;_silentjealousy;_Ginn;_fallout13;_James;_D.Kaede;_Kan2;_alixyang;_muyiboy^^TaleWorlds_Director_of_Communications:^Ali_Erkin^^TaleWorlds_Forum_Programming:^Brett_Flannigan_^^^TaleWorlds.com_Forum_Administrators_and_Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost_Lamb^Deus_Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade_Community_Suggestions_and_Feedback:^A_Mustang^adamlug^Adorno^alden^Alhanalem^amade^Anthallas^Alkhadias_Master^Arch3r^Archevious^Arcas_Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker_Pride^bgfan^bierdopjeee^Big_Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian_Hoplite^Crazed_Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia_dokhtar-i-Sanjar^Fei_Dao^Gabeed^GeN76^General_Hospital^GhosTR^glustrod^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack_Merchantson^JoG^Jov^Kazzan^King_Jonathan_the_Great^Kleidophoros^knight^Kong_Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord_Rich^lordum_ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin_Peace_Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord_Champion^okiN^Orion^OTuphlos^Papa_Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red_River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru_1993^Shun^silentdawn^Sir_Gowe^Skyrage^Slawomir_of_Aaarrghh^SoloSebo^SovietSoldier^Stabbing_Hobo^Stratigos001^Styo^TalonAquila^test^The_Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome_To_Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi_Murasaki^Yoshiboy^Zyconnic^^^Special_Thanks_to_Toby_Lee_for_his_ideas_and_in_depth_feedback_on_the_combat_system.^...and_many_many_other_wonderful_Mount&Blade_players!^^(This_is_only_a_small_sample_of_all_the_players_who_have_contributed_to_the_game_by_providing_suggestions_and_feedback.^This_list_has_been_compiled_by_sampling_only_a_few_threads_in_the_Taleworlds_Forums.^Unfortunately_compiling_an_exhaustive_list_is_almost_impossible.^We_apologize_sincerely_if_you_contributed_your_suggestions_and_feedback_but_were_not_listed_here,_and_please_know_that_we_are_grateful_to_you_all_the_same...)
str_credits_10 Paradox_Interactive^^President_and_CEO:^Theodore_Bergqvist^^Executive_Vice_President:^Fredrik_Wester^^Chief_Financial_Officer:^Lena_Eriksson^^Finance_&_Accounting:^Annlouise_Larsson^^VP_Sales_&_Marketing_US:^Reena_M._Miranda^^VP_Sales_&_Marketing_EU:^Martin_Sirc^^Distribution_Manager_Nordic:^Erik_Helmfridsson^^Director_of_PR_&_Marketing:^Susana_Meza^^PR_&_Marketing:^Sofia_Forsgren^^Product_Manager:^Boel_Bermann
str_credits_11 Logotype:^Jason_Brown^^Cover_Art:^Piotr_Fox_Wysocki^^Layout:^Christian_Sabe^Melina_Grundel^^Poster:^Piotr_Fox_Wysocki^^Map_&_Concept_Art:^Ganbat_Badamkhand^^Manual_Editing:^Digital_Wordsmithing:_Ryan_Newman,_Nick_Stewart^^Web:^Martin_Ericsson^^Marketing_Assets:^2Coats^^Localization:^S&H_Entertainment_Localization^^GamersGate:^Ulf_Hedblom^Andreas_Pousette^Martin_Ericson^Christoffer_Lindberg
str_credits_12 Thanks_to_all_of_our_partners_worldwide,_in_particular_long-term_partners:^Koch_Media_(Germany_&_UK)^Blue_Label_(Italy_&_France)^Friendware_(Spain)^New_Era_Interactive_Media_Co._Ltd._(Asia)^Snowball_(Russia)^Pinnacle_(UK)^Porto_Editora_(Portugal)^Hell-Tech_(Greece)^CD_Projekt_(Poland,_Czech_Republic,_Slovakia_&_Hungary)^Paradox_Scandinavian_Distribution_(Scandinavia)
str_multi_scene_1 Ruins
str_multi_scene_2 Village
str_multi_scene_3 Hailes_Castle
str_multi_scene_4 Ruined_Fort
str_multi_scene_5 Scene_5
str_multi_scene_6 Scene_6
str_multi_scene_7 Field_by_the_River
str_multi_scene_8 Rudkhan_Castle
str_multi_scene_9 Snowy_Village
str_multi_scene_10 Turin_Castle
str_multi_scene_11 Nord_Town
str_multi_scene_16 Port_Assault
str_multi_scene_17 Brunwud_Castle
str_multi_scene_18 Battle_on_Ice
str_multi_scene_19 Mahdaar_Castle
str_multi_scene_20 Jameyyed_Castle
str_multi_scene_21 The_Arena
str_multi_scene_22 Forest_Hideout
str_multi_scene_12 Random_Plains_(Medium)
str_multi_scene_13 Random_Plains_(Large)
str_multi_scene_14 Random_Steppe_(Medium)
str_multi_scene_15 Random_Steppe_(Large)
str_multi_scene_end multi_scene_end
str_multi_game_type_1 Conquest
str_multi_game_types_end multi_game_types_end
str_poll_kick_player_s1_by_s0 {s0}_started_a_poll_to_kick_player_{s1}.
str_poll_ban_player_s1_by_s0 {s0}_started_a_poll_to_ban_player_{s1}.
str_poll_change_map_to_s1_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}_and_factions_to_{s2}_and_{s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0 {s0}_started_a_poll_to_change_bot_counts_to_{reg0}_and_{reg1}.
str_poll_kick_player Poll_to_kick_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_ban_player Poll_to_ban_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map Poll_to_change_map_to_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map_with_faction Poll_to_change_map_to_{s0}_and_factions_to_{s1}_versus_{s2}:_1_=_Accept,_2_=_Decline
str_poll_change_number_of_bots Poll_to_change_number_of_bots_to_{reg0}_for_{s0}_and_{reg1}_for_{s1}:_1_=_Accept,_2_=_Decline
str_poll_time_left ({reg0}_seconds_left)
str_poll_result_yes The_poll_is_accepted_by_the_majority.
str_poll_result_no The_poll_is_rejected_by_the_majority.
str_total_item_cost_reg0 Total_cost:_{reg0}
str_server_name Server_name:
str_game_password Game_password:
str_map Map:
str_game_type Game_type:
str_max_number_of_players Maximum_number_of_players:
str_number_of_bots_in_team_reg1 Number_of_bots_in_team_{reg1}:
str_team_reg1_faction Team_{reg1}_faction:
str_enable_valve_anti_cheat Enable_Valve_Anti-cheat_(Requires_valid_Steam_account)
str_allow_friendly_fire Allow_ranged_friendly_fire
str_allow_melee_friendly_fire Allow_melee_friendly_fire
str_friendly_fire_damage_self_ratio Friendly_fire_damage_self_(%):
str_friendly_fire_damage_friend_ratio Friendly_fire_damage_friend_(%):
str_spectator_camera Spectator_camera:
str_control_block_direction Control_block_direction:
str_map_time_limit Map_time_limit_(minutes):
str_round_time_limit Round_time_limit_(seconds):
str_players_take_control_of_a_bot_after_death Switch_to_bot_on_death:
str_team_points_limit Team_point_limit:
str_point_gained_from_flags Team_points_gained_for_flags_(%):
str_point_gained_from_capturing_flag Points_gained_for_capturing_flags:
str_respawn_period Respawn_period_(seconds):
str_add_to_official_game_servers_list Add_to_official_game_servers_list
str_combat_speed Combat_speed:
str_combat_speed_0 Slowest
str_combat_speed_1 Slower
str_combat_speed_2 Medium
str_combat_speed_3 Faster
str_combat_speed_4 Fastest
str_off Off
str_on On
str_defender_spawn_count_limit Defender_spawn_count:
str_unlimited Unlimited
str_automatic Automatic
str_by_mouse_movement By_mouse_movement
str_free Free
str_stick_to_any_player Lock_to_any_player
str_stick_to_team_members Lock_to_team_members
str_stick_to_team_members_view Lock_to_team_members'_view
str_make_factions_voteable Allow_polls_to_change_factions
str_make_kick_voteable Allow_polls_to_kick_players
str_make_ban_voteable Allow_polls_to_ban_players
str_bots_upper_limit_for_votes Bot_count_limit_for_polls:
str_make_maps_voteable Allow_polls_to_change_maps
str_valid_vote_ratio Poll_accept_threshold_(%):
str_auto_team_balance_limit Auto_team_balance_threshold_(diff.):
str_welcome_message Welcome_message:
str_initial_gold_multiplier Starting_gold_(%):
str_battle_earnings_multiplier Combat_gold_bonus_(%):
str_round_earnings_multiplier Round_gold_bonus_(%):
str_allow_player_banners Allow_individual_banners
str_force_default_armor Force_minimum_armor
str_reg0 {!}{reg0}
str_s0_reg0 {!}{s0}_{reg0}
str_s0_s1 {!}{s0}_{s1}
str_reg0_dd_reg1reg2 {!}{reg0}:{reg1}{reg2}
str_s0_dd_reg0 {!}{s0}:_{reg0}
str_respawning_in_reg0_seconds Respawning_in_{reg0}_seconds...
str_no_more_respawns_remained_this_round No_lives_left_for_this_round
str_reg0_respawns_remained ({reg0}_lives_remaining)
str_this_is_your_last_respawn (This_is_your_last_life)
str_wait_next_round (Wait_for_the_next_round)
str_yes_wo_dot Yes
str_no_wo_dot No
str_we_resign We_have_no_strength_left_to_put_up_a_fight._We_surrender_to_you,_{playername}.
str_i_resign I_don't_want_to_die_today._I_surrender.
str_s1_returned_flag {s1}_has_returned_their_flag_to_their_base!
str_s1_auto_returned_flag {s1}_flag_automatically_returned_to_their_base!
str_s1_captured_flag {s1}_has_captured_the_enemy_flag!
str_s1_taken_flag {s1}_has_taken_the_enemy_flag!
str_s1_neutralized_flag_reg0 {s1}_has_neutralized_flag_{reg0}.
str_s1_captured_flag_reg0 {s1}_has_captured_flag_{reg0}!
str_s1_pulling_flag_reg0 {s1}_has_started_pulling_flag_{reg0}.
str_s1_destroyed_target_0 {s1}_destroyed_target_A!
str_s1_destroyed_target_1 {s1}_destroyed_target_B!
str_s1_destroyed_catapult {s1}_destroyed_the_catapult!
str_s1_destroyed_trebuchet {s1}_destroyed_the_trebuchet!
str_s1_destroyed_all_targets {s1}_destroyed_all_targets!
str_s1_saved_1_target {s1}_saved_one_target.
str_s1_saved_2_targets {s1}_saved_all_targets.
str_s1_defended_castle {s1}_defended_their_castle!
str_s1_captured_castle {s1}_captured_the_castle!
str_auto_team_balance_in_20_seconds Auto-balance_will_be_done_in_20_seconds.
str_auto_team_balance_next_round Auto-balance_will_be_done_next_round.
str_auto_team_balance_done Teams_have_been_auto-balanced.
str_s1_won_round {s1}_has_won_the_round!
str_round_draw Time_is_up._Round_draw.
str_round_draw_no_one_remained No_one_left._Round_draw.
str_death_mode_started Hurry!_Become_master_of_the_field!
str_reset_to_default Reset_to_Default
str_done Done
str_player_name Player_Name
str_kills Kills
str_deaths Deaths
str_ping Ping
str_dead Dead
str_reg0_dead {reg0}_Dead
str_bots_reg0_agents Bots_({reg0}_agents)
str_bot_1_agent Bot_(1_agent)
str_score Score
str_score_reg0 Score:_{reg0}
str_flags_reg0 (Flags:_{reg0})
str_reg0_players ({reg0}_players)
str_reg0_player ({reg0}_player)
str_open_gate Open_Gate
str_close_gate Close_Gate
str_open_door Open_Door
str_close_door Close_Door
str_raise_ladder Raise_Ladder
str_drop_ladder Drop_Ladder
str_back Back
str_start_map Start_Map
str_choose_an_option Choose_an_option:
str_choose_a_poll_type Choose_a_poll_type:
str_choose_faction Choose_Faction
str_choose_a_faction Choose_a_faction:
str_choose_troop Choose_Troop
str_choose_a_troop Choose_a_troop_class:
str_choose_items Choose_Equipment
str_options Options
str_redefine_keys Redefine_Keys
str_submit_a_poll Submit_a_Poll
str_administrator_panel Administrator_Panel
str_kick_player Kick_Player
str_ban_player Ban_Player
str_mute_player Mute_Player
str_unmute_player Unmute_Player
str_quit Quit
str_poll_for_changing_the_map Change_the_map
str_poll_for_changing_the_map_and_factions Change_the_map_and_factions
str_poll_for_changing_number_of_bots Change_number_of_bots_in_teams
str_poll_for_kicking_a_player Kick_a_player
str_poll_for_banning_a_player Ban_a_player
str_choose_a_player Choose_a_player:
str_choose_a_map Choose_a_map:
str_choose_a_faction_for_team_reg0 Choose_a_faction_for_team_{reg0}:
str_choose_number_of_bots_for_team_reg0 Choose_number_of_bots_for_team_{reg0}:
str_spectator Spectator
str_spectators Spectators
str_score Score
str_command Command:
str_profile_banner_selection_text Choose_a_banner_for_your_profile:
str_use_default_banner Use_Faction's_Banner
str_party_morale_is_low Morale_of_some_troops_are_low!
str_weekly_report Weekly_Report
str_has_deserted_the_party has_deserted_the_party.
str_have_deserted_the_party have_deserted_the_party.
str_space _
str_us_ Us_
str_allies_ Allies_
str_enemies_ Enemies_
str_routed Routed
str_weekly_budget Weekly_Budget
str_income_from_s0 Income_from_{s0}:
str_mercenary_payment_from_s0 Mercenary_payment_from_{s0}:
str_s0s_party {s0}'s_Party
str_loss_due_to_tax_inefficiency Loss_due_to_tax_inefficiency:
str_wages_for_s0 Wages_for_{s0}:
str_earlier_debts Earlier_debts:
str_net_change Net_change:
str_earlier_wealth Earlier_wealth:
str_new_wealth New_wealth:
str_new_debts New_debts:
str_completed_faction_troop_assignments_cheat_mode_reg3 {!}Completed_faction_troop_assignments,_cheat_mode:_{reg3}
str_completed_political_events_cheat_mode_reg3 {!}Completed_political_events,_cheat_mode:_{reg3}
str_assigned_love_interests_attraction_seed_reg3 {!}Assigned_love_interests._Attraction_seed:_{reg3}
str_located_kingdom_ladies_cheat_mode_reg3 {!}Located_kingdom_ladies,_cheat_mode:_{reg3}
str_team_reg0_bot_count_is_reg1 {!}Team_{reg0}_bot_count_is_{reg1}.
str_input_is_not_correct_for_the_command_type_help_for_more_information {!}Input_is_not_correct_for_the_command._Type_'help'_for_more_information.
str_maximum_seconds_for_round_is_reg0 Maximum_seconds_for_round_is_{reg0}.
str_respawn_period_is_reg0_seconds Respawn_period_is_{reg0}_seconds.
str_bots_upper_limit_for_votes_is_reg0 Bots_upper_limit_for_votes_is_{reg0}.
str_map_is_voteable Map_is_voteable.
str_map_is_not_voteable Map_is_not_voteable.
str_factions_are_voteable Factions_are_voteable.
str_factions_are_not_voteable Factions_are_not_voteable.
str_players_respawn_as_bot Players_respawn_as_bot.
str_players_do_not_respawn_as_bot Players_do_not_respawn_as_bot.
str_kicking_a_player_is_voteable Kicking_a_player_is_voteable.
str_kicking_a_player_is_not_voteable Kicking_a_player_is_not_voteable.
str_banning_a_player_is_voteable Banning_a_player_is_voteable.
str_banning_a_player_is_not_voteable Banning_a_player_is_not_voteable.
str_player_banners_are_allowed Player_banners_are_allowed.
str_player_banners_are_not_allowed Player_banners_are_not_allowed.
str_default_armor_is_forced Default_armor_is_forced.
str_default_armor_is_not_forced Default_armor_is_not_forced.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0 Percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_{reg0}%.
str_auto_team_balance_threshold_is_reg0 Auto_team_balance_threshold_is_{reg0}.
str_starting_gold_ratio_is_reg0 Starting_gold_ratio_is_{reg0}%.
str_combat_gold_bonus_ratio_is_reg0 Combat_gold_bonus_ratio_is_{reg0}%.
str_round_gold_bonus_ratio_is_reg0 Round_gold_bonus_ratio_is_{reg0}%.
str_point_gained_from_flags_is_reg0 Team_points_gained_for_flags_is_{reg0}%.
str_point_gained_from_capturing_flag_is_reg0 Points_gained_for_capturing_flags_is_{reg0}%.
str_map_time_limit_is_reg0 Map_time_limit_is_{reg0}_minutes.
str_team_points_limit_is_reg0 Team_point_limit_is_{reg0}.
str_defender_spawn_count_limit_is_s1 Defender_spawn_count_is_{s1}.
str_system_error SYSTEM_ERROR!
str_prisoner_granted_parole Prisoner_granted_parole
str_prisoner_not_offered_parole Prisoner_not_offered_parole
str__age_reg1_family_ ^Age:_{reg1}^Family:
str_s49_s12_s11_rel_reg0 {s49}_{s12}_({s11},_rel:_{reg0}),
str_s49_s12_s11 {s49}_{s12}_({s11}),
str_lord_info_string {reg6?:{reg4?{s54}_is_the_ruler_of_{s56}.^:{s54}_is_a_vassal_of_{s55}_of_{s56}.^}}Renown:_{reg5}._Controversy:_{reg15}.^{reg9?{reg3?She:He}_is_the_{reg3?lady:lord}_of_{s58}.:{reg3?She:He}_has_no_fiefs.}{s59}^{s49}
str_updating_faction_notes_for_s14_temp_=_reg4 {!}Updating_faction_notes_for_{s14},_temp_=_{reg4}
str_foreign_relations__ Foreign_relations:_^
str_s21__the_s5_is_at_war_with_the_s14 {s21}^*_The_{s5}_is_at_war_with_the_{s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting {s21}_The_{s5}_has_had_the_upper_hand_in_the_fighting.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting {s21}_The_{s5}_has_gotten_the_worst_of_the_fighting.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce {s21}_The_fighting_has_gone_on_for_some_time,_and_the_war_may_end_soon_with_a_truce.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time {s21}_The_fighting_has_begun_relatively_recently,_and_the_war_may_continue_for_some_time.
str_s21_reg4reg5 {!}{s21}_({reg4}/{reg5})
str__however_the_truce_is_no_longer_binding_on_the_s14 _However,_the_truce_is_no_longer_binding_on_the_{s14}
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days {s21}^*_The_{s5}_is_bound_by_truce_not_to_attack_the_{s14}.{s18}_The_truce_will_expire_in_{reg1}_days.
str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war {s21}^*_The_{s5}_has_recently_suffered_provocation_by_subjects_of_the_{s14},_and_there_is_a_risk_of_war.
str_s21__the_s5_has_no_outstanding_issues_with_the_s14 {s21}^*_The_{s5}_has_no_outstanding_issues_with_the_{s14}.
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_ {s21}_The_{s14}_was_recently_provoked_by_subjects_of_the_{s5},_and_there_is_a_risk_of_war.^
str_s21_cheat_mode_assessment_s14_ {!}{s21}^CHEAT_MODE_ASSESSMENT:_{s14}^
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21 The_{s5}_is_ruled_by_{s6}.^It_occupies_{s8}.^Its_vassals_are_{s10}.^^{s21}
str_assigned_lord_reputation_and_relations_cheat_mode_reg3 {!}Assigned_lord_reputation_and_relations,_cheat_mode:_{reg3}
str_caravan_trades_in_s5_originally_from_s4_ {!}Caravan_trades_in_{s5},_originally_from_{s4}_
str_your_hero_prisoned_at_s1 {!}your_hero_prisoned_at_{s1}.
str_old_morale_is_reg0_new_morale_is_reg1 {!}old_morale_is_{reg0},_new_morale_is_{reg1}
str_our_per_person__reg0_num_people__reg1_total_gain__reg2 {!}[our]_per_person_:_{reg0},_num_people_:_{reg1},_total_gain_:_{reg2}
str_ene_per_person__reg0_num_people__reg1_total_gain__reg2 {!}[ene]_per_person_:_{reg0},_num_people_:_{reg1},_total_gain_:_{reg2}
str_all_per_person__reg0_num_people__reg1_total_gain__reg2 {!}[all]_per_person_:_{reg0},_num_people_:_{reg1},_total_gain_:_{reg2}
str_loss_ratio_is_reg1 {!}loss_ratio_is_{reg1}
str_total_enemy_morale_gain__reg6_last_total_enemy_morale_gain__reg7_remaining_enemy_population__reg5 {!}total_enemy_morale_gain_:_{reg6},_last_total_enemy_morale_gain_:_{reg7},_remaining_enemy_population_:_{reg5}
str_reg4_killed_reg5_wounded_reg6_routed {reg4}_killed,_{reg5}_wounded,_{reg6}_routed
str_reg4_killed_reg5_routed {reg4}_killed,_{reg5}_routed
str_reg4_killed_reg5_wounded {reg4}_killed,_{reg5}_wounded
str_reg4_wounded_reg5_routed {reg4}_wounded,_{reg5}_routed
str_routed routed
str_caravan_in_s10_considers_s11_total_price_dif_=_reg3 {!}Caravan_in_{s10}_considers_{s11},_total_price_dif_=_{reg3}
str_test__caravan_in_s3_selects_for_s4_trade_score_reg3 {!}TEST_-_Caravan_in_{s3}_selects_for_{s4},_trade_score:_{reg3}
str_prisoner_relative_is_reg0 {!}prisoner_relative_is_{reg0}
str_test_diagnosis__traveller_attacks_for_s4 {!}Test_diagnosis_--_traveller_attacks_for_{s4}
str_traveller_attack_found {!}Traveller_attack_found
str_s42 {s42}
str_test_diagnostic_quest_found_for_s4 {!}Test_diagnostic:_Quest_found_for_{s4}
str_s4_changing_sides_aborts_quest {!}{s4}_changing_sides_aborts_quest
str_s4_awarded_to_s5 {s4}_awarded_to_{s5}
str_s11_reacts_to_granting_of_s12_to_s10 {!}{s11}_reacts_to_granting_of_{s12}_to_{s10}
str_debug__hiring_men_to_s7_ideal_size__reg6_ideal_top_size__reg7_hiring_budget__reg8 {!}DEBUG_:_hiring_men_to_{s7}_ideal_size_:_{reg6},_ideal_top_size_:_{reg7},_hiring_budget_:_{reg8}
str_debug__hiring_men_to_party_for_s0 {!}DEBUG_:_hiring_men_to_party_for_{s0}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies Calculating_sortie_for_{s4},_strength_of_{reg3}_vs_{reg4}_enemies
str_s4_sorties {!}{s4}_sorties
str_current_wealth_reg1_taxes_last_collected_from_s4 Current_wealth:_{reg1}._Taxes_last_collected_from_{s4}
str_s4_considers_going_to_s5_to_pay_court_to_s6 {!}{s4}_considers_going_to_{s5}_to_pay_court_to_{s6}
str_relation_with_1_bug_found_here__probably_because_s5_has_just_been_captured {!}Relation_with_-1_bug_found_here_-_probably_because_{s5}_has_just_been_captured
str_s4_has_reg4_chance_of_going_to_home_center {!}{s4}_has_{reg4}_chance_of_going_to_home_center
str_s4_has_reg4_chance_of_recruiting_troops {s4}_has_{reg4}_chance_of_recruiting_troops
str_s4_has_reg4_chance_of_going_to_s5 {s4}_has_{reg4}_chance_of_going_to_{s5}
str_s4_has_reg5_chance_of_patrolling_s6 {s4}_has_{reg5}_chance_of_patrolling_{s6}
str_s4_has_reg5_chance_of_raiding_s6 {s4}_has_{reg5}_chance_of_raiding_{s6}
str_s4_has_reg5_chance_of_besieging_s6 {s4}_has_{reg5}_chance_of_besieging_{s6}
str_sum_chances_reg6 Sum_chances:_{reg6}
str_deciding_faction_ai_for_s3 Deciding_faction_AI_for_{s3}
str_s5_decides_s14 {!}{s5}_decides:_{s14}
str_lords_of_the_s1_gather_for_a_feast_at_s2 Lords_of_the_{s1}_gather_for_a_feast_at_{s2}.
str_s5_begins_offensive {!}{s5}_begins_offensive
str_renown_change_of_reg4_reduced_to_reg5_because_of_high_existing_renown {!}Renown_change_of_{reg4}_reduced_to_{reg5},_because_of_high_existing_renown
str_s14 {!}{s14}
str_players_kingdom_has_had_reg3_days_of_peace Player's_kingdom_has_had_{reg3}_days_of_peace
str_s4_is_present_at_the_center_and_in_place_of_honor {!}{s4}_is_present_at_the_center_and_in_place_of_honor
str_s4_is_present_at_the_center_as_a_refugee {!}{s4}_is_present_at_the_center_as_a_refugee
str_s4_is_present_at_the_center_and_not_attending_the_feast {!}{s4}_is_present_at_the_center_and_not_attending_the_feast
str_s4_is_present_at_the_center_and_is_married {!}{s4}_is_present_at_the_center_and_is_married
str_s4_is_present_at_the_center_and_is_attending_the_feast {s4}_is_present_at_the_center_and_is_attending_the_feast
str_s4_is_present_at_the_center_and_is_awaiting_the_player_in_private {s4}_is_present_at_the_center_and_is_awaiting_the_player_in_private
str_s4_is_present_at_the_center_and_is_allowed_to_meet_the_player {s4}_is_present_at_the_center_and_is_allowed_to_meet_the_player
str_s4_is_present_at_the_center_and_is_not_allowed_to_meet_the_player {s4}_is_present_at_the_center_and_is_not_allowed_to_meet_the_player
str_no_relation no_relation
str_wife wife
str_husband husband
str_father father
str_mother mother
str_daughter daughter
str_son son
str_sister sister
str_brother brother
str_niece niece
str_nephew nephew
str_aunt aunt
str_uncle uncle
str_cousin cousin
str_daughterinlaw daughter-in-law
str_soninlaw son-in-law
str_motherinlaw mother-in-law
str_fatherinlaw father-in-law
str_sisterinlaw sister-in-law
str_brotherinlaw brother-in-law
str_print_party_members_entered print_party_members_entered
str_num_companion_stacks_=_reg10 num_companion_stacks_=_{reg10}
str_someone someone
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built I_take_what_work_I_can,_{sir/madame}._I_carry_water,_or_help_the_merchants_with_their_loads,_or_help_build_things,_if_there_are_things_to_be_built.
str_dna_reg4_total_production_reg5_modula_reg7 {!}DNA:_{reg4},_total_production:_{reg5},_modula:_{reg7}
str_agent_produces_s9 {!}Agent_produces_{s9}
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days I'm_not_doing_anything,_{sir/madame}._There's_no_work_to_be_had_around_here_these_days.
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days I'm_not_doing_anything,_{sir/madame}._I_have_no_land_of_my_own,_and_there's_no_work_to_be_had_around_here_these_days.
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly Why,_I'm_still_living_off_of_your_kindness_and_goodness,_{sir/madame}._Hopefully_there_will_be_work,_shortly.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside I_work_in_the_fields,_just_outside_the_walls,_where_they_grow_grain._We_don't_quite_grow_enough_to_meet_our_needs,_though,_and_have_to_import_grain_from_the_surrounding_countryside.
